;Regions;Pop_size
1;;NA
2;Arizona;7279000
3;AuvergeRhoneAlpes;7948287
4;BourgogneFrancheComte;2811423
5;Bretagne;4550418
6;Bruxelles;2500000
7;California;39538223
8;Catalonia;7727029
9;CenterIsrael;2115800
10;CentralFinland;275104
11;CentralOstrobothnia;68158
12;CentreValLoire;2538000
13;Charmahal;947763
14;Chubu;23010276
15;Chugoku;7563428
16;Colorado;5773714
17;Connaught;550742
18;Connecticut;3605944
19;Delaware;973764
20;EastEngland;5847000
21;EastMidlands;4804149
22;EastMidlands;4804149
23;East of England;5847000
24;Eastern Azarbaijan ;3909652
25;EastMiddleSE;1570490
26;EastMidlandsEngland;4804149
27;EastNetherlands;3671375
28;Esfahan;3989070
29;Florida;21570527
30;Gansu;25019831
31;Georgia;10711908
32;GrandEst;5549586
33;Haifa;996300
34;HautsDeFrance;6009976
35;Hawai;1455271
36;Hokkaido;5281297
37;Hovedstaden;1856061
38;Idaho;1657375
39;IleDeFrance;12278210
40;Illinois;12822739
41;Indiana;6785528
42;Jersey;107800
43;Jerusalem;874186
44;Jerusalem ;874186
45;Jihocesky;638307
46;Kainuu;72306
47;Kanto;42607376
48;Kentucky;4509342
49;Kinki;22757897
50;Kymenlaakso;174167
51;Kyushu;14311224
52;Lapland;178522
53;Lazio;5864321
54;Leinster;2630720
55;Liberecky;442356
56;London;8961989
57;Maryland;6185278
58;Massachusetts;7033469
59;Mayotte;288926
60;Mazandaran;3073943
61;MiddleNorrland;380004
62;Minnesota;5709752
63;Misouri;6160281
64;Mississippi;2963914
65;Montana;1085407
66;Moravskoslezsky;1203299
67;Munster;1280020
68;Nebraska;1961504
69;Nevada;3104614
70;New Jersey;9294493
71;New Mexico;2120220
72;New South Wales;8166369
73;New York State;20215751
74;Nordjylland;590322
75;Normandie;3322757
76;North Carolina;10453948
77;NorthEast;2657909
78;NorthernIreland;1893700
79;NorthMiddleSE;837892
80;NorthOstrobothnia;412830
81;NorthSavo;244236
82;NorthWestEngland;7052000
83;NouvelleAquitaine;5956978
84;Occitanie;5839867
85;Ohio;11808848
86;Ontario;13448494
87;Oregon;4237256
88;Ostlandet;2593085
89;Paijat-Hame;199604
90;Pardubicky;520316
91;PaysDelaLoire;3553352
92;Pennsylvania;13011844
93;Plzensky;584672
94;ProvenceAlpesCoteAzur;5007977
95;Qinghai;5923957
96;Sjaelland;839619
97;Rhode Island;1098163
98;Shannxi;39528999
99;Shikoku;3845534
100;Sichuan;83674866
101;Sorlandet;279024
102;SouthSE;1306695
103;South Carolina;5124712
104;SouthEast;8635000
105;SouthWest;5289000
106;SouthwestFinland;479341
107;Stredocesky;1369332
108;Syddanmark;1224100
109;Tehran;16000378
110;Tennessee;6916897
111;Texas;29183290
112;Tohoku;8682011
113;Ulster;2105666
114;Utah;3271616
115;Uusimaa;1703649
116;Vermont;643503
117;Vestlandet;1444800
118;Virginia;8654542
119;Vysocina;509274
120;Wales;3153000
121;Washington State;7705281
122;WestIE;380057
123;Western Australia;2667130
124;Western Norway;1444800
125;WestMidlands;5713000
126;WestNetherlands;8326542
127;Wisconsin;5893718
128;YorkshireHumber;5284000
